General information;;;;;Effects;;;Additionally;
114;Threat of integer variable overflow;"The threat consists in the possibility that an intruder can cause a discredited application to malfunction by feeding data of an unsupported format to its input interfaces or performing an operation using it, which will result in data of a format unsupported by the discredited application. 
This threat is caused by software vulnerabilities associated with insufficient verification of the correctness of input data by such applications, as well as the fact that operators of any software are able to correctly process only certain types of data (for example, only integers or only positive numbers).
This threat can be implemented if the intruder has: 
information about the range of input (or processed) data formats supported by the discredited application; 
the ability to interact with the input interface of the discredited application";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software;1;1;1;20.03.2015;11.02.2019
115;Threat of interception of information entered and output to peripheral devices;"The threat consists in the possibility for an intruder to gain unauthorized access to information entered and output to peripheral devices by intercepting data processed by peripheral device controllers. 
This threat is caused by insufficient measures to protect information from leakage and control data flows, as well as the inability to protect information entered and output to peripheral devices using cryptographic means (since information should be presented to system users in an understandable form).
The implementation of this threat is possible if the intruder has privileges to install and run specialized malware that implements the functions of ""keyloggers"" (for obtaining user passwords by the intruder), virtual printer drivers (interception of documents containing protected information), etc.";"External intruder with low potential; Internal intruder with low potential";System software, Application software, hardware;1;0;0;20.03.2015;11.02.2019
116;Threat of interception of data transmitted over a computer network;"The threat consists in the possibility of unauthorized access to the network traffic of the discredited computer network by an intruder in passive (""listening"" to traffic) or active (packet substitution, changing their contents) mode to collect and analyze information (for example, authentication information), which can be used in the future to implement other threats, while remaining in the implementation of this threat. threats from an invisible (hidden) recipient of intercepted data. In addition, the intruder can conduct research on other types of data streams, such as radio signals.
This threat is caused by weaknesses in network interaction mechanisms that provide third-party users with open data about the discredited system, as well as network software configuration errors. 
The implementation of this threat is possible under the following conditions:
 the intruder has access to a discredited computer network; 
the inability of the technologies used for data transmission to prevent the possibility of covert listening to the data stream";External intruder with low potential;Network node, network traffic;1;0;0;20.03.2015;25.11.2020
117;Threat of intercepting a privileged thread;"The threat consists in the possibility of an intruder's unauthorized access to the data stream created by an application with additional privileges (to a privileged data stream), by synchronous (calling a privileged function that returns an incorrect value) or asynchronous (creating callbacks, manipulating pointers, etc.) destructive software impact on it. 
This threat is caused by vulnerabilities in software that uses sections of code executed with additional rights inherited by the created privileged threads (the presence of erroneous pointers, incorrect memory release, etc.). 
This threat can be implemented under the following conditions: 
in a discredited application, there are code sections that require execution with rights that exceed the rights of ordinary users; 
the intruder has privileges that allow you to make changes to the input data of the discredited application";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software;1;1;1;20.03.2015;11.02.2019
118;Threat of intercepting a privileged process;"The threat consists in the possibility of an intruder obtaining control rights for a process that has high privileges (for example, inherited from a user or group of users who play the role of administrators of the discredited system) to execute arbitrary malicious code with the rights of the discredited process. 
This threat is caused by software vulnerabilities that perform access control functions (in the algorithm or configuration parameters), which lead to incorrect distribution of access rights within the tree of inherited processes.
This threat can be implemented if one of the following conditions is met: 
the intruder successfully enters incorrect data that leads to buffer overflow or certain types of software injections;
 the intruder has privileges to run system utilities intended for process management";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software;1;1;1;20.03.2015;11.02.2019
119;Threat of hijacking of hypervisor control;"The threat consists in the possibility for an intruder to gain unauthorized access to information, software, and computing resources reserved and managed by the hypervisor by obtaining the right to manage the hypervisor by exploiting vulnerabilities in the hypervisor management console. 
This threat is caused by the hypervisor management console having software interfaces for interacting with other access subjects (processes, programs) and, as a result, the possibility of unauthorized access to this console (a virtualization-level program), as well as insufficient measures to differentiate access to this console.
This threat can be implemented if the violator has the rights to interact with the hypervisor management console";"External intruder with medium potential; Internal intruder with medium potential";System software, Hypervisor, Hypervisor management console;1;1;1;20.03.2015;11.02.2019
120;Threat of interception of management of the virtualization environment;"The threat consists in the possibility for an intruder to gain unauthorized access to information, software, and computing resources reserved and managed by all hypervisors that implement the virtualization environment, by obtaining the right to manage these hypervisors by exploiting vulnerabilities in the console of the virtual infrastructure management tool.
This threat is caused by the console having a virtual infrastructure management tool implemented within one of the VMs, software interfaces for interacting with other access subjects (processes, programs), and, as a result, the possibility of unauthorized access to this console (a virtualization management level program), as well as insufficient measures to differentiate access to this console.
This threat can be implemented if the violator has the rights to interact with the virtual infrastructure management tool console";"External intruder with medium potential; Internal intruder with medium potential";Information system, system software;1;1;1;20.03.2015;11.02.2019
121;Threat of system registry corruption;"The threat consists in the possibility of breaking the availability of part of the functionality or the entire information system due to damage to the registry used in its operation due to incorrect shutdown of the operating system (uncontrolled reboot, errors in device drivers, etc.), violation of the integrity of files containing registry data, errors in the file system of the storage medium, or due to violator of destructive software impact on file objects containing the registry. 
This threat is caused by weaknesses in access control measures for files containing registry data, backup and integrity control measures for such files, as well as measures to restore registry functionality due to operating system failures. 
The implementation of this threat is possible under one of the following conditions: 
errors occur in individual processes or the entire operating system;
 the violator has access rights to the registry or files containing registry data";"External intruder with low potential; Internal intruder with low potential";File system objects, registry;0;1;1;20.03.2015;11.02.2019
122;Threat of privilege escalation;"The threat consists in the possibility of the violator performing a destructive program influence on the discredited process (or system) or on other processes (or systems). on his (her) behalf by exploiting the violator's unlawfully obtained additional rights to manage the discredited object.
This threat is caused by vulnerabilities in the software that performs access control functions (in the algorithm or configuration parameters).
The implementation of this threat is possible if the violator has software (such as an ""exploit"") specifically designed to implement this threat in the discredited system.";"External intruder with medium potential; Internal intruder with medium potential";System software, Network software, information system;1;1;1;20.03.2015;11.02.2019
123;BIOS Password Guessing threat;"The threat consists in the possibility of unauthorized access to the BIOS/UEFI settings by entering the BIOS/UEFI console using a password selected programmatically or ""manually"" using methods of total search of options or dictionary selection. 
This threat is caused by weaknesses in the authentication mechanism implemented in the BIOS/UEFI consoles. 
This threat can be implemented in one of the following cases: 
the intruder can have physical access to the computer and can restart it; 
the intruder has a special software tool for brute-forcing BIOS/UEFI passwords and privileges in the system to install and run such tools";Low-potential domestic intruder;BIOS/UEFI Firmware;1;0;1;20.03.2015;11.02.2019
124;Threat of tampering with event log entries;"The threat consists in the possibility of an intruder making changes to the security event logs of the discredited system (deleting records that compromise the intruder or falsifying records about events that did not occur) in order to mislead its administrators or hide traces of other threats. 
This threat is caused by insufficient measures to restrict access to the security event log. 
The implementation of this threat is possible in one of the following cases: 
security event logging technology assumes the ability to edit them and the intruder has the necessary privileges;
security event logging technology does not assume the ability to edit them, but the intruder has the necessary privileges to write to log files, as well as special software tools, capable of processing log files of the format used in the discredited system";"External intruder with low potential; Internal intruder with low potential";System Software;0;1;0;20.03.2015;11.02.2019
125;Threat to connect to a wireless network that bypasses the authentication procedure;"The threat consists in the possibility of an intruder intercepting wireless network traffic or other illegal actions by legalizing the intruder's own connection to the wireless network in semi-automatic mode (for example, WPS) without entering the encryption key. 
This threat is caused by weaknesses in the authentication procedure for wireless devices during semi-automatic connection.
This threat can be implemented if the intruder has physical access to a wireless access point that supports semi-automatic connection mode.";External intruder with low potential;Network node, network software;1;1;1;20.03.2015;11.02.2019
126;Threat of spoofing a wireless client or access point;"The threat consists in the possibility of an intruder receiving authentication or other protected information transmitted during the automatic connection of wireless access points or client software to trusted network interaction subjects substituted by the intruder.
This threat is caused by weaknesses in the authentication mechanism for network interaction subjects with wireless access.
This threat can be implemented if the intruder places a client or wireless access point with specially formed operation parameters (such as the MAC address, name, data transmission standard used, etc.) in the availability zone for discredited wireless access devices";External intruder with low potential;Network node, network software, hardware, wireless access point;1;0;1;20.03.2015;11.02.2019
127;Threat of spoofing user actions by deception;"The threat consists in the possibility of an intruder performing illegal actions in the system on behalf of another user using social engineering methods (deceiving the user, imposing false beliefs) or technical methods (using transparent buttons, replacing labels on controls, etc.) 
This threat is caused by weaknesses in the user interface or user errors.
The implementation of this threat is possible if the discredited user has the rights to perform the operations that the violator needs from him";External intruder with medium potential;Application software, network software;1;1;1;20.03.2015;11.02.2019
128;Threat of spoofing a trusted user;"The threat consists in the ability of an intruder to impersonate a legitimate user and receive / transmit data on their behalf. This threat can be described as ""imitation of the client's actions"".
This threat is caused by weaknesses in network communication technologies, which often do not allow you to authenticate the source / recipient of information. 
This threat can be implemented if the intruder has a computer network connection, as well as information about the configuration of network devices, the type of software used, and so on.";External intruder with low potential;Network node, network software;1;0;0;20.03.2015;11.02.2019
129;Threat of spoofing a backup copy of the BIOS software;"The threat consists in the possibility of the intruder indirectly introducing malicious code into the BIOS/UEFI of the discredited computer, by waiting or creating the need to perform the procedure for restoring the previous version of the BIOS/UEFI software, previously replaced by the intruder.
This threat is caused by insufficient access control and integrity control measures for BIOS/UEFI software backups. 
This threat can be implemented under the following conditions: 
the intruder has successfully replaced the backup copy of the BIOS/UEFI software; 
there is a need to restore the previous version of the BIOS/UEFI software (this condition can occur either accidentally or be provoked by the intruder)";Low-potential domestic intruder;BIOS/UEFI firmware and hardware;0;1;0;20.03.2015;11.02.2019
130;Threat of spoofing the contents of network resources;"The threat consists in the possibility of an intruder performing unauthorized access to the protected data of network users or performing various fraudulent actions by covertly replacing the contents of data stored (sites, web pages) or transmitted (emails, network packets) over the network. 
This threat is caused by weaknesses in network communication technologies, which often do not allow you to authenticate the contents of an email message. 
This threat can be implemented if the violator has access rights to network resources and the network user does not have measures to ensure their integrity";External intruder with low potential;Application software, Network software, Network traffic;1;0;0;20.03.2015;11.02.2019
131;Threat of spoofing the network access subject;"The threat consists in the possibility of an intruder performing unauthorized access to the protected data of network users or performing various fraudulent actions by covertly replacing information about the sender of the message in network requests sent by a discredited user. This threat can be described as ""imitation of server actions"". 
This threat is caused by weaknesses in network communication technologies, which often do not allow you to authenticate the source of information. 
This threat can be implemented if the violator successfully impersonates the legitimate sender (for example, using false phishing websites). The key difference from the ""threat of spoofing the content of network resources"" is that in this case, the intruder does not change the original content of the electronic resource (website, email), but only official information.";External intruder with medium potential;Application software, Network software, Network traffic;1;1;0;20.03.2015;11.02.2019
132;Threat of obtaining preliminary information about the security object;"The threat consists in the possibility of the violator disclosing protected information about the security status of the discredited system, its configuration and potential vulnerabilities, etc., by taking measures to collect and analyze available information about the system. 
This threat is caused by the presence of vulnerabilities in network software that allow you to get information about the configuration of individual programs or the system as a whole (lack of input data control, open network ports, incorrect configuration of security policies, etc.). 
This threat can be implemented if information about the discredited system is obtained using at least one of the following methods for studying the discredited system: 
analysis of the system's responses to network requests (including syntactically incorrect or non-standard ones) to network services opened in the system, which can cause unhandled exceptions with detailed error messages containing protected information (stack trace, system configuration, network packet routing) 
analysis of system responses to string URI requests (including invalid SQL queries, alternative file access paths).
This threat differs from the threat of data interception and other data collection threats in that the intruder actively polls the discredited system, and does not just observe it";External intruder with medium potential;Network node, network software, network traffic, application software;1;0;0;20.03.2015;11.02.2019
133;Threat of obtaining information about the owner of a wireless device;"The threat consists in the possibility of the violator disclosing information about the geographical movements of the discredited user at certain time intervals, including revealing the place of his work, residence, etc. Obtaining such information can be used by the violator in the future to implement threats in information systems that the discredited user has access to. 
This threat is caused by the weak protection of the identification information of wireless access points when they are connected to the Internet.
The implementation of this threat is possible if the violator has access to the identification data of stationary wireless access points, with which the discredited user's wireless device automatically interacts.";External intruder with low potential;Network node, metadata;1;0;0;20.03.2015;11.02.2019
134;Threat of loss of trust in a cloud service provider;"The threat is the possibility of reducing the level of security and making additional errors in ensuring the security of information protected in the cloud system due to the irretrievable outflow of necessary resources from the cloud service provider due to the loss of trust in their provider by cloud service consumers. 
This threat is caused by the fact that due to the publication of facts about information security incidents related to a cloud service provider, there is a loss of trust in such a provider on the part of cloud service consumers, and, as a result, there is a need for an avalanche of resources (human, technical, financial) allocated by the cloud service provider to solve the problems that arise in this situation tasks (multiple user consultations, emergency revision of security policies, modernization of the security system, etc.), which can not only cause a lack of resources to ensure the current level of information security, but also provoke the admission of new errors ""in a hurry"". 
Implementation of this threat is possible in case of publication of single or multiple facts about information security incidents related to the cloud service provider, which caused significant losses for its customers.";An internal intruder with an average potential;File system objects, an information system migrated to the cloud;1;1;1;20.03.2015;11.02.2019
135;Threat of loss and leakage of data processed in the cloud;"The threat is the possibility of violating the confidentiality, integrity and availability of protected information of cloud service consumers processed in the cloud system. 
This threat is caused by weak security measures for information processed in the cloud system. 
This threat can be implemented if the provider (incorrect selection or configuration of security tools) or the consumer (loss of password, electronic key, login from an insecure console) of cloud services makes mistakes in ensuring the security of protected information";Low-potential domestic intruder;System software, metadata, and file system objects;1;1;1;20.03.2015;11.02.2019
136;Threat of information loss due to inconsistency in the operation of big data storage nodes;"The threat lies in the possibility of making errors when copying protected information in distributed data storage on different nodes of the big data warehouse due to inconsistencies in their operation, which lead to the inability of a legal user to access blocks or all protected information. 
This threat is caused by weaknesses in the data replication mechanisms implemented in big data storage nodes. 
This threat can be implemented if one or several nodes are disabled or disabled due to special software actions on big data storage nodes, as well as technical or software failures in the operation of their components";Low-potential domestic intruder;Information system, big data storage nodes;0;1;1;20.03.2015;11.02.2019
137;Threat of loss of cloud resource management;"The threat is the possibility of a breach of contractual obligations on the part of a cloud service provider in relation to their consumer due to the significant complexity of building an effective cloud resource management system for a cloud system, especially using the cloud resources of other cloud service providers. 
This threat is caused by the complexity of determining the logical and physical location of cloud resources, the lack of physical control measures for access to data warehouses, backups, etc. , as well as the need to take into account the specifics of information protection legislation in countries where cloud service providers are residents who perform the role of subcontractors for the provision of ordered cloud services. 
This threat can be implemented if meeting the requirements for the functionality of the cloud system becomes difficult (or impossible) due to the legal norms of other countries involved in cross-border transmission of cloud traffic";External intruder with high potential;Network traffic, file system objects;1;1;1;20.03.2015;11.02.2019
138;Threat of losing control of your own infrastructure when moving it to the cloud;"The threat lies in the possibility of making mistakes in managing the infrastructure of a cloud service consumer's system that has been migrated to the cloud, on the part of the cloud service provider, because it does not have information about the management features of a particular system, as well as because the cloud service consumer who has such information does not have the ability to systems due to their immigration to the cloud.
This threat is caused by the inability of the cloud service consumer to reliably assess the real level of security provided by the cloud service provider in relation to the protected information of the cloud service consumer, due to the confidentiality of information about the technologies, software and technical solutions used by the cloud service provider, as well as specific settings for information security tools. 
This threat can be implemented if a part of the system management functions of the cloud service consumer is transferred to the cloud service provider (when migrating part or all of the system to the cloud).";An internal intruder with an average potential;Information system migrated to the cloud, system software, application software, network software;1;1;1;20.03.2015;11.02.2019
139;The threat of overcoming physical defenses;"The threat consists in the possibility of the violator performing almost any destructive actions against the discredited information system when they gain physical access to the computer hardware of the system by overcoming the physical access control system organized in the enterprise building.
This threat is caused by vulnerabilities in the physical access control system (lack of locks in the room, personnel errors, etc.). 
The implementation of this threat is possible if the violator successfully uses any of the methods of entering the object (deception of personnel, breaking locks, etc.).";External intruder with medium potential;Server, workstation, storage media, hardware;1;1;1;20.03.2015;11.02.2019
140;"Threat of bringing the system to a ""denial of service""state";"The threat lies in the possibility of a discredited system refusing access to legitimate users in the event of an avalanche-like increase in the number of network connections to this system or when using shortcomings in the implementation of network protocols.
This threat is caused by the fact that the system consumes part of its resources to process each network request, as well as weaknesses in network technologies related to the limited speed of processing network request streams, insufficient control measures for connection management and errors in the implementation of network protocols.
The implementation of this threat is possible if the volume of requests exceeds the volume of resources available for processing them in the discredited system, or if there are errors in the implementation of network protocols (for example, generating an IP address of version 6 based on the MAC address, determining the availability of an IP address, using the PPP interface integrity control function, etc.).";"External intruder with low potential; Internal intruder with low potential";Information system, network node, system software, network software, network traffic, telecommunication device;0;0;1;20.03.2015;12.02.2019
141;Threat of linking to a cloud service provider;"The threat is the possibility of difficult (or even unsolvable) problems of a technical, organizational, legal, or other nature that prevent the consumer of cloud services from changing their provider.
This threat is caused by the lack of compatibility between data formats and software interfaces used in cloud infrastructures of various cloud service providers. 
This threat can be implemented if the cloud service provider uses non-standard software or virtual machine image format, and there are no tools to convert the virtual machine image from the format it uses to another one (used by another provider).";Low-potential domestic intruder;Information system migrated to the cloud, system software, network software, network traffic, file system objects;0;0;1;20.03.2015;11.02.2019
142;Threat of suspension of cloud services due to technical failures;"The threat lies in the possibility of reducing the quality of cloud services (or even refusing to provide them to end users) due to technical failures of at least one of the cloud service providers (part of the chain of intermediaries in providing cloud services to their end users), as well as due to significant delays or losses in data transmission channels rented by the consumer or cloud service providers. 
This threat is caused by weaknesses in the procedure for monitoring the performance of maintenance and compliance with the operating modes of technical means of the cloud information system. 
The implementation of this threat is possible if there are no backup mechanisms for processing, storing and transmitting information that are part of the cloud information system.";;System software, hardware, communication channel;0;0;1;20.03.2015;11.02.2019
143;Threat of software failure of information storage, processing, and/or input/output / transmission facilities;"The threat consists in the possibility of an intruder interrupting the technology of information processing in a discredited system by performing destructive software (locally or remotely) effects on storage facilities (external, removable and internal drives), processing (processor, device controller, etc.) and (or) input/output/transmission of information (keyboards, etc.), in particular:  as a result, the security object will go to the ""denial of service"" state. However, it may not be possible to recover it from this state by restarting the system, but it will require repair and restoration work. 
This threat is caused by the presence of vulnerabilities in the firmware of information storage, processing, and (or) input/output/transmission facilities, as well as the inability to store, process, and (or) input/output/transmission facilities for a long time in the mode of maximum permissible values (frequency of the system bus, central processor, number of read accesses, etc.).or record and other parameters).
The implementation of this threat is possible if the violator has the rights to send a command or specially generated input data to the storage, processing, and (or) input/output/transmission of information.";"External intruder with medium potential; Internal intruder with medium potential";Information carrier, firmware, hardware, telecommunication device;0;1;1;20.03.2015;12.02.2019
144;Threat of software reset of the BIOS password;"The threat consists in the possibility of unauthorized access to the BIOS/UEFI settings by entering an ""empty"" password after restarting the computer.
This threat is caused by weaknesses in the operating system's access control measures for the BIOS/UEFI password reset function. 
The implementation of this threat is possible under the following conditions:
 if the BIOS/UEFI software has an active interface for programmatically resetting the password directly from under the operating system;
 if the intruder has special software tools that implement password reset, as well as rights in the operating system to install and run these tools";Low-potential domestic intruder;BIOS/UEFI firmware, system software;1;1;0;20.03.2015;11.02.2019
145;Threat of missing software integrity checks;"The threat consists in the possibility of an intruder introducing malicious software into a discredited system by fraudulently redirecting requests from the user or its programs to its own network resource containing malicious software, for its ""manual"" or"" automatic "" download and subsequent installation in the discredited system on behalf of the user or its programs. 
This threat is caused by weaknesses in the mechanisms for verifying the integrity of software files and/or verifying the authenticity of the source of their receipt. 
This threat can be implemented if deceptive techniques are successfully used using one of the following methods: 
""manual method"" – the intruder, using deceptive mechanisms, persuades the user to follow a link to the intruder's network resource, which leads to the launch of malicious code on the user's computer, or convinces the user to download and install malicious software on their own (for example, under the guise of a game or antivirus tool); 
""automatic method"" – the intruder performs a destructive effect by redirecting the automatic update function of the discredited program to its own malicious server";"External intruder with low potential; Internal intruder with low potential";System software, Application software, Network software;0;1;1;20.03.2015;11.02.2019
146;Threat of direct access to the memory of the computing field of a supercomputer;"The threat consists in the possibility of an intruder's process operating in the computing field of a supercomputer reading protected data from RAM allocated for a parallel (discredited) process using remote direct memory access operations. 
This threat is caused by weaknesses in the direct RAM access protocol, which is used to access a memory segment allocated for a remote parallel process operating in the computing field of a supercomputer. 
The implementation of this threat is possible if the intruder successfully accesses the input/output data of parallel processes in the computing field of the supercomputer";"External intruder with medium potential; Internal intruder with medium potential";Computing nodes of a supercomputer, data transmission channels of a supercomputer, system software;1;0;0;20.03.2015;11.02.2019
147;Threat of unauthorized extension of elevated rights to the entire grid system;"The threat consists in the possibility of automatic distribution to the entire grid system of unauthorized privileges obtained by an intruder on a single node. 
This threat is caused by the presence of vulnerabilities in the client software of the grid system and weaknesses in the mechanism for assigning rights to users implemented in the binding software. 
The implementation of this threat is possible if the violator successfully increases his rights on one node of the grid system.";An internal intruder with an average potential;Grid system resource centers, grid system nodes, grid system, network software;1;1;0;20.03.2015;11.02.2019
148;Threat of failure of automatic management of the big data storage access control system;"The threat lies in the possibility of situations related to errors in automatically assigning access rights to users (granting additional permissions, erroneous inheritance, accidental restoration of ""inactive"" accounts, etc.). 
This threat is caused by weaknesses in the control measures for a large number (from a thousand, and in some cases up to several million) of user accounts by security administrators. 
This threat can be implemented if there are failures or errors in the operation of the big data storage access control system";;Information system, big data storage access control system;1;0;1;20.03.2015;11.02.2019
149;Threat of failure in processing specially modified files;"The threat consists in the possibility of the violator performing various illegal actions on behalf of discredited applications by causing a malfunction in their operation by making changes to the files processed by discredited programs or their metadata. 
This threat is caused by weaknesses in the mechanism for checking the integrity of processed files and the correctness of the data contained in them. 
This threat can be implemented
if:  the intruder has information about the file formats and values that cause discredited applications to fail when processing them;  a
mechanism that has been successfully created in the discredited system to intercept control over the violator's processing of a program failure";"External intruder with medium potential; Internal intruder with medium potential";Metadata, file system objects, and system software;1;1;1;20.03.2015;11.02.2019
150;Threat of failure of the BIOS update process;"The threat is the possibility of disabling the computer due to the introduction of critical errors in the BIOS/UEFI software as a result of a violation of the update process. 
This threat is caused by weaknesses in the BIOS/UEFI software update monitoring technologies. 
This threat can be implemented during computer repair and maintenance, both when installing a correct / compatible update version (due to crashes, interference, etc.), and when installing a damaged / incompatible update version (due to the lack of an integrity and compatibility check mechanism).";An internal intruder with an average potential;BIOS/UEFI firmware and hardware, communication channels;0;0;1;20.03.2015;11.02.2019
151;Threat of scanning web services developed based on the WSDL description language;"The threat consists in the possibility of an intruder obtaining information about the current configuration of web services and the presence of vulnerabilities in it by examining the WSDL interface of the web server. 
This threat is caused by insufficient information privacy measures implemented in WSDL services that provide detailed information about ports, services, and connections available to users. 
This threat can be implemented if the intruder has network access to the network resource under investigation and special software tools for scanning the network";External intruder with low potential;Network software, network node;1;0;0;20.03.2015;11.02.2019
152;Threat of deleting authentication information;"The threat lies in the possibility of denying legitimate users access to information resources, as well as in the possibility of an intruder obtaining the privileges of a discredited user by resetting (zeroing, deleting) his authentication information. 
This threat is caused by weaknesses in the policy of restricting access to authentication information and tools for working with user accounts.
This threat can be implemented if one of the following conditions is met: 
regular tools for working with user accounts have the functionality of resetting authentication information, and the violator has received privileges in the discredited system to use these tools; 
the violator has special software that implements the function of resetting authentication information, and has received privileges in the discredited system to use these tools";"External intruder with low potential; Internal intruder with low potential";System software, firmware, user credentials;1;1;1;20.03.2015;11.02.2019
153;Threat of increased impact on users ' computing resources using third-party servers;"The threat consists in the possibility of the intruder's indirect destructive software impact on the discredited system by a large volume of network traffic generated by third-party servers in response to network requests made by the intruder on behalf of the discredited system. The network traffic generated by third-party servers significantly exceeds the volume of network requests generated by the intruder.
This threat is caused by weaknesses in the firewall measures of the discredited information system, measures to control the authenticity of network requests on third-party servers, as well as weaknesses in the open system interaction model.
This threat can be implemented if the intruder has: 
information about third-party servers with insufficient network request authentication measures; 
information about the network address of the discredited system; 
special software that implements network packet generation functions";"External intruder with low potential; Internal intruder with low potential";Information system, network node, system software, network software;0;0;1;20.03.2015;11.02.2019
154;Threat of installing vulnerable versions of the BIOS software update;"The threat consists in the possibility of introducing vulnerabilities in the BIOS/UEFI software during its update, which can be used later to bring the computer into a ""denial of service"" state, unauthorized changes to the BIOS/UEFI configuration, or execution of malicious code every time the computer starts up. 
This threat is caused by weaknesses in measures to control the absence of vulnerabilities in the newly released versions of the BIOS/UEFI software update. 
The implementation of this threat is possible during the repair and maintenance of the computer";"External intruder with medium potential; Internal intruder with medium potential";BIOS/UEFI Firmware;1;1;1;20.03.2015;11.02.2019
155;Threat of loss of computing resources;"The threat consists in the possibility of refusing to allocate resources to a legitimate user for processing their requests due to the violator's exhaustion of free resources in the system, carried out by unauthorized exclusion of them from the general resource pool based on ""resource leakage"" or ""resource allocation""techniques.
This threat is caused by weaknesses in the mechanism for controlling the distribution of computing resources between users, as well as measures for inter-network shielding of the discredited information system and monitoring the authenticity of network requests on third-party servers. 
This threat can be implemented if the intruder has: 
information about the format and parameters of destructive actions on the system that lead to the exclusion (""leakage"" or ""allocation"") of free resources from the general resource pool of the discredited system; 
privileges sufficient for performing destructive actions (""leakage"" or ""allocation"") in the discredited system; 
administrators do not have the ability to: ""resource leaks"" – system reboots when an intruder sends a large number of resource allocation requests, and for the ""resource allocation"" technique – forced release of resources allocated at the request of malicious processes";"External intruder with low potential; Internal intruder with low potential";Information system, network node, storage medium, system software, network software, network traffic;0;0;1;20.03.2015;11.02.2019
156;Threat of loss of data carriers;"The threat consists in the possibility of disclosure of information stored on a lost medium (if there is no data encryption), or its loss (if there is no data backup).
This threat is caused by weaknesses in data storage registration and accounting measures, as well as backup measures for protected data.
The implementation of this threat is possible due to employee negligence";Low-potential domestic intruder;Information carrier;1;0;1;20.03.2015;11.02.2019
157;Threat of physical failure of information storage, processing, and/or input/output / transmission facilities;"The threat consists in the possibility of an external intruder intentionally disabling the means of storing, processing, and / or I / O / transmitting information, which may lead to a violation of the availability, and in some cases, the integrity of the protected information. 
This threat is caused by weaknesses in physical access control measures for storing, processing, and/or I/O / transmitting information. 
Implementation of this threat is possible if the violator obtains physical access to information storage media (external, removable, and internal drives), information processing facilities (processor, device controllers, etc.), and information input/output facilities (keyboard, etc.).";External intruder with low potential;Server, workstation, storage media, hardware;0;1;1;20.03.2015;11.02.2019
158;Media formatting threat;"The threat is the possibility of loss of information stored on the formatted storage medium, often without the possibility of recovery, due to deliberate or accidental execution of the formatting procedure for the storage medium. 
This threat is caused by weak measures to restrict access to the system's media formatting function. 
The implementation of this threat is affected by such factors as: 
the time elapsed after formatting; 
the type of information carrier; 
the type of file system of the media;
the intensity of interaction with the media after formatting, etc.";"External intruder with low potential; Internal intruder with low potential";Information carrier;0;1;1;20.03.2015;11.02.2019
159;"The threat of ""forced web browsing""";"The threat consists in the possibility of an intruder gaining access to protected information, performing privileged operations, or performing other destructive actions on incorrectly protected components of web applications. 
This threat is caused by weaknesses (or lack of) of the mechanism for checking the correctness of entered data on web servers. 
The implementation of this threat is possible if you successfully ""manually enter"" certain addresses of web pages in the address bar of the web browser and forcibly navigate through the website tree to pages that are not explicitly linked on the website";External intruder with low potential;Network node, network software;1;0;0;20.03.2015;11.02.2019
160;Threat of theft of information storage, processing, and/or input/output / transmission facilities;"The threat consists in the possibility of an external intruder stealing a computer (and its connected devices), USB drives, optical disks, or other means of storing, processing, I/O, or transmitting information. 
This threat is caused by weaknesses in physical access control measures for storing, processing, and/or I/O / transmitting information. 
This threat can be implemented if the intruder has physical access to information storage media (external, removable, and internal drives), information processing facilities (processor, device controllers, etc.), and information input/output facilities (keyboard, etc.).";External intruder with low potential;Server, workstation, storage media, hardware;1;0;1;20.03.2015;11.02.2019
